class,train_count,val_count,recall_val,f1_val
actinic_keratosis_bowen,361,39,0.28205128204405,0.3999999995728926
basal_cell_carcinoma,794,87,0.7011494252792971,0.7577639746491261
benign_keratosis,1479,163,0.6012269938613422,0.6925795048070021
dermatofibroma,253,27,0.8518518518203018,0.8846153840821006
melanocytic_nevus,14217,1578,0.9917617237002587,0.9444779717395526
melanoma,1293,142,0.4154929577435529,0.5566037731373265
other,244,26,0.7692307692011834,0.8163265300807996
vascular_lesion,351,38,0.8947368420817176,0.9189189183944485
